Ocupation,MODEL,BANK
MANAGING DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,ORCHARD CREDIT PTE LTD
HR AND ADMIN MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,DBS BANK LTD
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
CONSULTANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DOCTOR,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
CLINIC MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
director,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
SENIOR ENGINEERING SPECIALIST,TUCSON 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
RETIRE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
OPERATION SUPERVISOR,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
GENERAL COUNSEL,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
LECTURER,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,NO FINANCE - CASH PAYMENT
HOMEMAKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
ASIA LEAD,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
BANKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ACCOUNTANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
PILOT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),DBS BANK LTD
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
"AVP, COMMERICAL GROUP MEDIACORP",IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,DBS BANK LTD
LEGAL COUNSEL,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,DBS BANK LTD
TRANSPORT OPERATOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ASSISTANT DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
PROJECT CONSUTANT,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,MAYBANK SINGAPORE LIMITED
OPERATIONS,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
BUSINESSMAN,SANTA FE 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
CEO,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
TEACHER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
UNDERWRITER,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
SALES EXEC,TUCSON 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
RISK MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
SELF EMPLOYED,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
PROFFESSIONAL,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
BUSINESS,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
BANK EXECUTIVE,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MARKETTING,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
HR (AVP),IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
HOUSE MAKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
HOMEMAKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
VICE PRESIDENT,IONIQ 5 ELECTRIC PRESTIGE 2WD,ORCHARD CREDIT PTE LTD
SURVEYOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
TECHNICAL SERVICE ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
CONSULTANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
INVESTMENT EXECUTIVE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
EXECUTIVE,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
